Image Index,AbsRel,SqRel,RMSE,RMSE_log,delta1,delta2,delta3
1191,0.024391077,0.002105017,0.081311014,0.011522974,1,1,1
1192,0.018088364,0.001454155,0.070491838,0.008995855,1,1,1
1193,0.021278723,0.001779507,0.076251553,0.01008236,1,1,1
1194,0.026561705,0.001894329,0.068239525,0.01241497,1,1,1
1195,0.026262828,0.001585404,0.053671416,0.013459835,0.99998007,1,1
1200,0.036012245,0.003455591,0.089554245,0.016693431,0.99998007,1,1
1201,0.034816287,0.003261451,0.091938713,0.015246793,1,1,1
1202,0.029958032,0.0023677,0.073178937,0.014128208,0.99998007,1,1
1203,0.034784343,0.013039787,0.296769986,0.019054162,0.999740912,1,1
1204,0.023547345,0.002485801,0.105204699,0.011574768,0.99996014,1,1
1205,0.033988841,0.009356368,0.250132294,0.016504268,1,1,1
1206,0.024015341,0.002547073,0.104813639,0.011603673,0.99994021,1,1
1207,0.025994286,0.007973951,0.227841341,0.015717791,0.999422034,1,1
1208,0.020853358,0.001726039,0.073354033,0.010487385,1,1,1
1209,0.025230229,0.002801113,0.106633881,0.013141348,0.999780772,1,1
1210,0.027272375,0.002697332,0.092098778,0.013614532,0.999880421,1,1
1211,0.023184542,0.001927094,0.074796792,0.011588065,0.99996014,1,1
1215,0.025594059,0.002105199,0.077841311,0.011800445,1,1,1
1216,0.024673613,0.002150199,0.08029211,0.011757522,1,1,1
1217,0.025093864,0.002227918,0.080922563,0.012051002,1,1,1
1218,0.022671746,0.002929126,0.119327105,0.011436812,0.999880421,1,1
1219,0.025428933,0.003656212,0.131951676,0.012965423,0.999681122,1,1
1225,0.02569568,0.002177814,0.078156794,0.012388849,1,1,1
1226,0.024142611,0.002874869,0.11163936,0.012404547,0.999720982,1,1
1227,0.022782647,0.002568198,0.09563139,0.012767253,0.999322385,1,1
1228,0.023323588,0.00210917,0.080454255,0.012419272,0.999920281,1,1
1229,0.027221402,0.003185858,0.102755178,0.014350739,0.999760842,1,1
1232,0.030717292,0.002570217,0.075276681,0.015283404,0.999900351,1,1
1233,0.028076907,0.002455754,0.075994696,0.014246929,0.999880421,1,1
1234,0.025028983,0.002311428,0.083223577,0.012486761,0.99994021,1,1
1246,0.021922422,0.002057507,0.084831471,0.010787343,1,1,1
1247,0.02905443,0.005122596,0.161601838,0.014353991,0.99996014,1,1
1248,0.020909389,0.001418844,0.057767547,0.011160538,0.999701052,1,1
1249,0.020557874,0.001997699,0.088612207,0.009921753,1,1,1
1253,0.041044365,0.01203881,0.264662993,0.019640089,0.999820631,1,1
1254,0.035037552,0.010358328,0.258482259,0.01764059,0.999322385,1,1
1255,0.03572225,0.011038505,0.25892419,0.018387198,0.999501754,1,1
1256,0.029641826,0.005253171,0.162301226,0.014786511,0.999581473,1,1
1257,0.025208207,0.003278682,0.116073767,0.013360581,0.999720982,1,1
1258,0.024216806,0.002521202,0.098001226,0.012349464,0.999860491,1,1
1259,0.026521794,0.003655741,0.121131987,0.013838808,0.999103157,1,1
1260,0.023592065,0.003018257,0.110100366,0.012986093,0.999860491,1,1
1261,0.019830405,0.001708045,0.076427251,0.00968955,1,1,1
1262,0.03733555,0.011400276,0.262246184,0.018940903,0.999920281,1,1
1263,0.026883327,0.00174079,0.062208608,0.012320769,1,1,1
1264,0.035825951,0.009766696,0.243681401,0.017686072,0.999661193,1,1
1274,0.027322102,0.004029384,0.138329223,0.013575446,0.999840561,1,1
1275,0.035201807,0.01211102,0.285518066,0.018741119,0.999143017,0.99998007,1
1276,0.025325589,0.003313142,0.115539659,0.013657768,0.999362245,0.99996014,1
1277,0.036810357,0.010396562,0.254699724,0.019467942,0.997927296,0.999920281,1
1278,0.020569528,0.002092224,0.086030965,0.011007732,0.99996014,1,1
1279,0.042370298,0.016319738,0.323361835,0.021570526,0.99994021,1,1
1284,0.028811502,0.002631217,0.084805177,0.013369968,1,1,1
1285,0.02525796,0.002757178,0.104589657,0.012480527,0.99994021,1,1
1286,0.020693676,0.001759745,0.075096422,0.010989688,0.999840561,1,1
1287,0.021930462,0.002096675,0.084731335,0.011124115,1,1,1
1288,0.022677926,0.00262789,0.102186666,0.01198224,0.999760842,0.99996014,1
1289,0.021597058,0.002241041,0.089968602,0.011472525,0.999740912,1,1
1290,0.024107155,0.002900054,0.108260862,0.01233219,0.999621333,1,1
1291,0.042177442,0.015676315,0.322873881,0.021129116,0.999641263,1,1
1292,0.021952479,0.002575153,0.103004753,0.01140279,0.999561543,1,1
1293,0.033598954,0.00293328,0.0795803,0.016057093,0.999840561,1,1
1294,0.03186599,0.003398457,0.104276967,0.015247593,0.999302455,1,1
1296,0.031960015,0.003041126,0.091034022,0.014320104,1,1,1
1297,0.022051986,0.002320774,0.095550671,0.01150477,0.999860491,1,1
1298,0.024239498,0.00229554,0.090171752,0.01158714,1,1,1
1301,0.030089361,0.006331941,0.186941844,0.014974214,1,1,1
1302,0.029405868,0.004284846,0.125256128,0.01503798,0.999900351,1,1
1303,0.044196246,0.016035759,0.315924763,0.021940793,0.999860491,1,1
1304,0.02045127,0.002478542,0.09356233,0.011889409,0.999760842,1,1
1305,0.023725538,0.003780951,0.146582208,0.012889053,0.999661193,1,1
